"c_name","source","r_id","r_year","r_month","r_female","p_interest","p_economy","Econ_Dem","Dec_Dem","Eff_Dem","Comp_Dem"
"Tunisia","Arab Barometer Wave VII",211994,2021,10,0,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211995,2021,10,1,"Interested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211996,2021,10,0,"Interested","Bad","Strongly agree","Strongly agree","Strongly agree","Agree"
"Tunisia","Arab Barometer Wave VII",211997,2021,10,1,"Very uninterested","Bad","Agree","Disagree","Disagree","Disagree"
"Tunisia","Arab Barometer Wave VII",211998,2021,10,1,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211999,2021,10,0,"Very interested","Very bad","Agree","Strongly agree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",212000,2021,10,0,"Interested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212001,2021,10,1,"Very uninterested","Bad","Strongly agree","Agree","Strongly agree","Agree"
"Tunisia","Arab Barometer Wave VII",212002,2021,11,0,"Very uninterested","Very bad","Agree","Agree","Strongly agree","Agree"
"Tunisia","Arab Barometer Wave VII",212003,2021,11,0,"Uninterested","Very bad","Agree","Agree","Disagree","Agree"
"Tunisia","Arab Barometer Wave VII",212004,2021,10,0,"Uninterested","Bad","Strongly agree","Agree","Agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",212005,2021,11,1,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212006,2021,10,0,"Interested",NA,NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212007,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212008,2021,10,1,"Very uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212009,2021,11,0,"Interested","Bad","Agree","Disagree",NA,"Agree"
"Tunisia","Arab Barometer Wave VII",212010,2021,10,1,"Uninterested","Good","Strongly disagree","Disagree","Agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",212011,2021,11,0,"Interested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212012,2021,11,0,"Very uninterested","Bad","Agree","Agree","Agree","Disagree"
"Tunisia","Arab Barometer Wave VII",212013,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212014,2021,10,1,"Very uninterested","Very bad","Agree","Strongly agree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",212015,2021,10,1,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212016,2021,10,1,"Very uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212017,2021,11,0,"Very interested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212018,2021,10,1,"Very uninterested","Very bad","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",212019,2021,10,0,"Very interested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212020,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212021,2021,10,0,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212022,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212023,2021,11,0,"Very uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212024,2021,10,0,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212025,2021,10,0,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212026,2021,10,1,"Very interested","Bad","Strongly disagree","Strongly disagree","Strongly disagree","Agree"
"Tunisia","Arab Barometer Wave VII",212027,2021,11,1,"Uninterested","Very bad","Disagree","Disagree","Strongly disagree","Disagree"
"Tunisia","Arab Barometer Wave VII",212028,2021,10,1,"Very uninterested","Very bad","Strongly agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",212029,2021,10,1,"Very uninterested","Good",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",212030,2021,10,1,"Uninterested","Very bad","Agree","Strongly agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",212031,2021,10,0,"Very uninterested","Bad",NA,NA,NA,NA
